friends_count,followers_count,cluster number
1416,4211,0
11,10,0
6156,7342,0
41,31,0
400,712,0
260,67,0
194,2940,0
145,226,0
27,14,0
297,741,0
520,211,0
1118,120,0
2172,2420,0
76,101,0
608,732,0
124,57,0
35,15,0
59,44,0
464,127,0
47,4,0
2642,13245,0
888,377,0
6804,14877,0
1,0,0
23201,23202,0
411,462,0
2534,1932,0
364,121,0
23,437,0
35,34,0
201,32,0
281,647,0
224,262,0
61,40,0
368,93,0
9783,8878,0
0,2,0
238,156,0
602,1245,0
122,137,0
129,24,0
152,100,0
354,281,0
300,184,0
15,1349,0
3,3,0
2577,4081,0
1972,838,0
685,82,0
270,363,0
173,37,0
963,1615,0
372,13,0
162,221,0
1145,1121,0
99,64,0
6463,9472,0
34,48,0
330,1966,0
139,154,0
152,211,0
320,268,0
71,1420,0
13546,13280,0
740,493,0
1207,575,0
231,143,0
898,425,0
6106,8571,0
175,400,0
148,429,0
51,22,0
72,75,0
360,160,0
1176,373,0
222,206,0
2002,1662,0
226,167,0
583,717,0
3191,3645,0
816,1375,0
284,172,0
421,429,0
442,260,0
694,184744,4
137,119,0
26,22,0
138,19,0
178,200,0
1754,207,0
759,924,0
42,21,0
2088,1405,0
499,253,0
14783,38730,0
418,340,0
40,64,0
781,1013,0
6774,161860,4
111,373,0
11871,12563,0
211,133,0
1481,1399,0
2197,32171,0
1482,1080,0
74,5693,0
46,1,0
291,2279,0
999,1187,0
252,326,0
1460,5345,0
41,44,0
279,665,0
171,165,0
60,404,0
797,185,0
725,714,0
3181,4064,0
51,14,0
1214,1046,0
1539,358,0
146,76,0
207,1786,0
318,352,0
209,213,0
3162,17693,0
162,132,0
129,3,0
0,7,0
122,118,0
40,656,0
363,470,0
2385,2582,0
2074,2288,0
371,719,0
373,464,0
1278,206,0
314,368,0
35,31,0
331,522,0
563,450,0
368,418,0
581,351,0
117,329,0
59,3,0
1894,1536,0
1708,986,0
463,144,0
734,1280,0
0,17589,0
1987,678,0
691,750,0
982,2334,0
289,775,0
935,883,0
59,9,0
52,19,0
318,230,0
0,1,0
515,532,0
14276,40891,0
36,15,0
110,166,0
33,175,0
263,528,0
178,189,0
282,205,0
1407,2026,0
40,2,0
123,52,0
359,241,0
794,548,0
1305,1447,0
301,317,0
288,2942,0
202,180,0
50,173,0
299,286,0
644,742,0
494,250,0
113,164,0
761,780,0
